row height weight sex
1 167.57 59.25 male
2 170.57 95.55 male
3 162.28 77.66 female
4 168.21 91.55 male
5 170.69 83.56 female
6 170.37 90.3 male
7 170.25 81.41 male
8 170.31 100.99 male
9 166.26 92.38 female
10 162.89 72.65 female
11 169.63 103.91 male
12 167.69 66.48 male
13 170.55 81.56 male
14 169.75 81.32 other
15 169.27 88.96 male
16 170.22 90.92 male
17 161.48 60.2 female
18 169.15 89.27 other
19 168.43 65.69 male
20 163.05 102.81 female
21 167.47 86.42 male
22 169.16 84.92 male
23 166.31 92.65 male
24 170.92 82.74 other
25 172.39 84.5 male
26 165.76 90.72 male
27 165.17 104.19 female
28 168.56 68.12 male
29 170.45 82.88 male
30 162.52 88.42 other
31 170.93 82.89 other
32 166.14 92.76 female
33 171.14 78.66 male
34 169.96 86.5 male
35 170.01 90.23 male
36 168.52 68.35 male
37 162.47 81.04 female
38 160.72 73.28 male
39 164.89 86.79 other
40 162.49 88.37 female
41 170.34 86.24 male
42 160.79 81.61 female
43 170.04 90.75 male
44 162.55 91.67 male
45 163.81 69.99 female
46 165.72 87.24 female
47 165.8 92.97 female
48 169.76 96.19 male
49 162.66 51.85 male
50 170.16 81.44 male
51 163.24 77.42 female
52 165.55 88.36 female
53 164.64 87.04 other
54 163.08 72.53 female
55 170.64 90.19 other
56 170.24 92.66 male
57 164.82 87.63 other
58 164.36 94.67 male
59 170.14 91.07 male
60 170.36 82.3 male
61 170.25 92.66 male
62 162.86 63.74 female
63 170.24 82.07 male
64 169.74 103.72 other
65 165.27 52.96 female
66 170.31 100.99 male
67 169.27 88.89 male
68 172.69 90.74 female
69 168.07 62.79 male
70 170.18 90.35 male
71 170.9 77.25 male
72 166.54 87.62 male
73 162.56 81.58 female
74 166.66 93.25 male
75 165.93 76.01 female
76 166.5 93.72 male
77 167.37 86.73 other
78 162.62 88.7 female
79 172.37 84.3 male
80 168.94 69.73 male
81 170.15 91.55 female
82 169.27 84.85 male
83 161.71 73.52 female
84 170.55 95.65 other
85 168.36 92.99 female
86 170.53 93.71 male
87 162.64 89.48 female
88 160.92 58.96 female
89 170.45 94.23 other
90 172.71 87.86 male
91 165.65 88.07 female
92 168.35 104.16 male
93 168.99 91.68 male
94 169.18 91.17 female
95 163.97 94.46 female
96 162.32 73.55 female
97 164.82 66.51 female
98 161.49 99.06 male
99 169.96 91.61 male
100 170.88 83.85 male
101 170.33 97.75 male
102 165.75 90.15 female
103 165.61 62.9 female
104 171.56 96.24 male
105 162.88 73.63 female
106 163.55 76.88 female
107 163.13 70.93 female
108 167.29 65.89 female
109 165.66 92.12 female
110 163.55 77.91 female
111 160.7 50.76 female
112 170.96 83.93 male
113 168.18 104.11 male
114 165.68 88.13 female
115 162.76 60.32 female
116 160.62 74.1 male
117 161.04 59.02 other
118 165.26 76.92 female
119 166.16 103.46 female
120 169.19 92.32 male
121 168.35 93.08 female
122 165.78 76.43 female
123 163.2 93.33 other
124 162.83 63.68 female
125 169.16 90.45 female
126 165.53 62.24 female
127 164.91 67.12 female
128 165.64 89.77 female
129 170.07 81.52 male
130 170.05 87.19 male
131 165.41 86.68 female
132 164.22 52.39 female
133 165.54 76.88 female
134 167.06 103.15 male
135 162.05 78.16 female
136 170.32 90.68 male
137 162.77 89.2 female
138 162.07 90.86 male
139 163.38 87.38 female
140 162.45 73.4 female
141 171.44 84.36 male
142 164.96 52.75 female
143 161.97 73.57 female
144 160.23 88.76 female
145 172.4 84.59 male
146 160.17 84.49 female
147 165.87 68.13 female
148 164.42 93.98 male
149 166.68 55.56 male
150 162.31 78.54 female
151 162.41 89.02 female
152 172.64 90.76 female
153 162.69 61.25 male
154 169.37 91.59 other
155 167.99 94.33 other
156 162.9 63.84 female
157 168.12 94.39 other
158 170.88 85.68 male
159 169.35 91.62 male
160 162.56 88.8 female
161 164.5 76.95 female
162 162.75 78.15 female
163 168.6 68.55 male
164 165.51 63.07 female
165 170.29 82.35 male
166 170.03 102.83 male
167 161.75 50.41 female
168 160.08 51.83 female
169 169.74 88.22 male
170 162.51 81 other
171 169.97 81.58 male
172 168.53 68.41 male
173 160.2 59.87 female
174 162.87 57.33 female
175 168.22 94.86 male
176 170.03 86.86 male
177 169.22 86.61 male
178 170.53 75.53 male
179 162.68 73.34 female
180 162.67 61.1 female
181 169.82 73.04 male
182 169.07 95.66 male
183 165.21 88.57 female
